Country Name,Country Code,Series,Series Code,1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Venezuela, RB",VEN,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,89.00485,..,..,..,..,..,..,..,..,..,..,92.71598,..,..,..,..,..,94.92964,..,95.3504,..,95.02888,..,..,..,96.56007,97.21371
"Venezuela, RB",VEN,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,90.67252,..,..,..,..,..,..,..,..,..,..,93.25745,..,..,..,..,..,95.38173,..,95.67537,..,94.50232,..,..,..,96.65108,97.03911
Vietnam,VNM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,82.82939,..,..,..,..,..,..,..,..,..,86.92008,86.61011,..,..,..,..,..,..,..,..,91.37909,..,..,..,..,..,..,..
Vietnam,VNM,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,93.00299,..,..,..,..,..,..,..,..,..,93.91826,93.93268,..,..,..,..,..,..,..,..,95.78533,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,79.72662,..,..,..,..,..,..,87.95174,..,89.757,90.46518,90.90292,91.70453,92.1728,92.61618,93.56538,94.12609,94.40729,94.85377,95.20791
West Bank and Gaza,PSE,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,92.24351,..,..,..,..,..,..,96.54279,..,97.07989,97.23721,97.144,97.43125,97.62902,97.857,98.1918,98.39109,98.40231,98.4809,98.60784
World,WLD,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,64.5435,66.58945,67.13362,67.46975,68.18644,68.65706,69.13554,69.66801,70.19752,70.73267,73.56366,74.71396,75.16028,75.34387,75.79277,76.22312,76.81378,77.29448,77.14741,77.81728,78.11155,78.66421,79.07055,79.80433,80.24647,80.69907,80.93791,81.52601,81.769,82.30731
World,WLD,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,79.42775,80.77902,81.09641,81.18705,81.58425,82.01961,82.39573,82.71091,83.00014,83.28917,84.52334,85.73028,85.97084,86.0589,86.24223,86.6054,87.07109,87.42237,87.39615,87.46091,87.54668,88.01052,88.19003,88.25146,88.37274,88.77897,88.92678,89.21079,89.32727,89.67834
